               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08674,            0.030433,             0.04166,              0.0515,             0.17121,            0.048853,            0.012288,            0.051943,            0.019484,            0.024825,             0.00094,             0.00094,             0.09154
                   1,            0.058068,            0.026404,            0.026158,             0.77686,             0.20161,             0.20596,            0.066796,            0.042139,            0.014573,            0.013778,           0.0018713,           0.0018713,            0.082971
                   2,            0.054176,            0.023087,            0.017919,              0.6965,             0.38212,             0.37765,             0.17063,            0.037727,            0.012242,            0.010473,           0.0027838,           0.0027838,            0.074384
                   3,            0.050514,            0.021049,            0.013692,             0.66022,             0.37682,             0.31031,             0.12018,            0.041688,            0.010838,           0.0082282,           0.0036774,           0.0036774,            0.065777
                   4,             0.04821,            0.020128,            0.011737,             0.77995,             0.46407,             0.47779,             0.23124,            0.038113,            0.010155,           0.0062549,           0.0045523,           0.0045523,            0.057152
                   5,            0.049035,             0.01982,            0.010904,             0.86191,             0.47062,             0.59203,             0.29435,            0.032345,            0.010257,           0.0061717,           0.0054083,           0.0054083,            0.048508
                   6,             0.04717,            0.019356,           0.0099385,             0.60762,             0.65427,              0.6484,             0.32151,            0.033852,            0.010206,            0.005323,           0.0062456,           0.0062456,            0.039846
                   7,            0.044524,            0.019579,             0.01017,             0.54324,             0.67652,             0.63386,             0.29215,            0.032056,            0.010567,           0.0046523,            0.007064,            0.007064,            0.031164
                   8,            0.045567,            0.019725,            0.009795,              0.5019,             0.67379,             0.61911,             0.25999,            0.035854,             0.01014,           0.0055012,           0.0078636,           0.0078636,            0.022464
                   9,            0.045924,            0.019123,           0.0084105,             0.68685,             0.54497,             0.65982,             0.30116,            0.034115,             0.01139,           0.0062685,           0.0086444,           0.0086444,            0.013744
                  10,            0.045593,            0.020428,            0.010289,             0.59347,             0.55008,             0.60666,             0.28373,            0.033927,            0.012073,           0.0062659,             0.00901,             0.00901,             0.00901
                  11,            0.044422,            0.020114,           0.0098982,             0.51798,             0.60456,             0.54734,             0.26719,            0.033781,            0.012379,           0.0095027,             0.00901,             0.00901,             0.00901
                  12,            0.043141,            0.020651,            0.010734,             0.60144,             0.55013,             0.59071,             0.26759,            0.034643,            0.011883,           0.0069352,            0.008911,            0.008911,            0.008911
                  13,            0.042858,            0.020994,           0.0095055,             0.73536,             0.59591,             0.70343,             0.35363,            0.030987,            0.010831,           0.0045808,            0.008812,            0.008812,            0.008812
